Provinsi,Internet,Tahun,Komputer
ACEH,31.07,2015,16.81
SUMATERA UTARA,35.23,2015,14.22
SUMATERA BARAT,44.65,2015,21.9
RIAU,44.43,2015,21.33
JAMBI,39.44,2015,18.02
SUMATERA SELATAN,35.74,2015,14.48
BENGKULU,38.19,2015,20.23
LAMPUNG,27.66,2015,11.68
KEP. BANGKA BELITUNG,39.75,2015,18.26
KEP. RIAU,60.53,2015,28.54
DKI JAKARTA,74.32,2015,36.95
JAWA BARAT,44.67,2015,17.33
JAWA TENGAH,41.42,2015,15.27
DI YOGYAKARTA,61.18,2015,34.73
JAWA TIMUR,40.46,2015,17.59
BANTEN,48.15,2015,22.36
BALI,53.64,2015,27.79
NUSA TENGGARA BARAT,27.76,2015,12.58
NUSA TENGGARA TIMUR,21.68,2015,11.52
KALIMANTAN BARAT,31.41,2015,15.6
KALIMANTAN TENGAH,38.17,2015,19.64
KALIMANTAN SELATAN,44.99,2015,21.66
KALIMANTAN TIMUR,55.03,2015,33.46
KALIMANTAN UTARA,47.63,2015,29.99
SULAWESI UTARA,45.32,2015,21.81
SULAWESI TENGAH,32.31,2015,16.88
SULAWESI SELATAN,41.47,2015,23.2
SULAWESI TENGGARA,35.76,2015,19.63
GORONTALO,37.92,2015,16.71
SULAWESI BARAT,26.81,2015,14.68
MALUKU,34.82,2015,19.72
MALUKU UTARA,25.34,2015,17.16
PAPUA BARAT,34.61,2015,21.66
PAPUA,16.28,2015,11.49
INDONESIA,41.98,2015,18.71
ACEH,35.23,2016,17.48
SUMATERA UTARA,40.44,2016,14.97
SUMATERA BARAT,48.19,2016,21.0
RIAU,49.23,2016,21.51
JAMBI,42.81,2016,17.81
SUMATERA SELATAN,39.1,2016,15.1
BENGKULU,40.8,2016,19.48
LAMPUNG,33.61,2016,11.48
KEP. BANGKA BELITUNG,45.51,2016,20.82
KEP. RIAU,65.86,2016,30.19
DKI JAKARTA,76.96,2016,35.66
JAWA BARAT,49.43,2016,17.93
JAWA TENGAH,46.93,2016,15.57
DI YOGYAKARTA,65.36,2016,34.18
JAWA TIMUR,46.11,2016,18.19
BANTEN,55.43,2016,22.53
BALI,60.65,2016,29.15
NUSA TENGGARA BARAT,34.59,2016,13.46
NUSA TENGGARA TIMUR,27.26,2016,12.03
