Provinsi,Internet,Tahun
ACEH,31.07,2015
SUMATERA UTARA,35.23,2015
SUMATERA BARAT,44.65,2015
RIAU,44.43,2015
JAMBI,39.44,2015
SUMATERA SELATAN,35.74,2015
BENGKULU,38.19,2015
LAMPUNG,27.66,2015
KEP. BANGKA BELITUNG,39.75,2015
KEP. RIAU,60.53,2015
DKI JAKARTA,74.32,2015
JAWA BARAT,44.67,2015
JAWA TENGAH,41.42,2015
DI YOGYAKARTA,61.18,2015
JAWA TIMUR,40.46,2015
BANTEN,48.15,2015
BALI,53.64,2015
NUSA TENGGARA BARAT,27.76,2015
NUSA TENGGARA TIMUR,21.68,2015
KALIMANTAN BARAT,31.41,2015
KALIMANTAN TENGAH,38.17,2015
KALIMANTAN SELATAN,44.99,2015
KALIMANTAN TIMUR,55.03,2015
KALIMANTAN UTARA,47.63,2015
SULAWESI UTARA,45.32,2015
SULAWESI TENGAH,32.31,2015
SULAWESI SELATAN,41.47,2015
SULAWESI TENGGARA,35.76,2015
GORONTALO,37.92,2015
SULAWESI BARAT,26.81,2015
MALUKU,34.82,2015
MALUKU UTARA,25.34,2015
PAPUA BARAT,34.61,2015
PAPUA BARAT DAYA,,2015
PAPUA,16.28,2015
PAPUA SELATAN,,2015
PAPUA TENGAH,,2015
PAPUA PEGUNUNGAN,,2015
INDONESIA,41.98,2015
ACEH,35.23,2016
SUMATERA UTARA,40.44,2016
SUMATERA BARAT,48.19,2016
RIAU,49.23,2016
JAMBI,42.81,2016
SUMATERA SELATAN,39.1,2016
BENGKULU,40.8,2016
LAMPUNG,33.61,2016
KEP. BANGKA BELITUNG,45.51,2016
KEP. RIAU,65.86,2016
DKI JAKARTA,76.96,2016
JAWA BARAT,49.43,2016
JAWA TENGAH,46.93,2016
DI YOGYAKARTA,65.36,2016
JAWA TIMUR,46.11,2016
BANTEN,55.43,2016
BALI,60.65,2016
NUSA TENGGARA BARAT,34.59,2016
NUSA TENGGARA TIMUR,27.26,2016
KALIMANTAN BARAT,37.62,2016
KALIMANTAN TENGAH,42.95,2016
KALIMANTAN SELATAN,50.26,2016
KALIMANTAN TIMUR,62.68,2016
KALIMANTAN UTARA,58.32,2016
SULAWESI UTARA,52.41,2016
SULAWESI TENGAH,35.55,2016
SULAWESI SELATAN,47.14,2016
SULAWESI TENGGARA,41.9,2016
GORONTALO,45.92,2016
SULAWESI BARAT,33.71,2016
MALUKU,42.66,2016
MALUKU UTARA,30.18,2016
PAPUA BARAT,39.39,2016
PAPUA BARAT DAYA,,2016
PAPUA,19.26,2016
PAPUA SELATAN,,2016
PAPUA TENGAH,,2016
PAPUA PEGUNUNGAN,,2016
INDONESIA,47.22,2016
ACEH,44.83,2017
SUMATERA UTARA,52.15,2017
SUMATERA BARAT,54.91,2017
RIAU,58.41,2017
JAMBI,51.49,2017
SUMATERA SELATAN,49.73,2017
BENGKULU,49.76,2017
LAMPUNG,45.25,2017
KEP. BANGKA BELITUNG,54.76,2017
KEP. RIAU,73.33,2017
DKI JAKARTA,85.7,2017
JAWA BARAT,62.04,2017
JAWA TENGAH,57.48,2017
DI YOGYAKARTA,71.71,2017
JAWA TIMUR,56.36,2017
BANTEN,64.11,2017
BALI,67.1,2017
NUSA TENGGARA BARAT,42.95,2017
NUSA TENGGARA TIMUR,36.18,2017
KALIMANTAN BARAT,45.81,2017
KALIMANTAN TENGAH,52.92,2017
KALIMANTAN SELATAN,55.66,2017
KALIMANTAN TIMUR,69.06,2017
KALIMANTAN UTARA,65.68,2017
SULAWESI UTARA,61.78,2017
SULAWESI TENGAH,47.77,2017
SULAWESI SELATAN,55.95,2017
SULAWESI TENGGARA,50.85,2017
GORONTALO,54.52,2017
SULAWESI BARAT,41.31,2017
MALUKU,47.81,2017
MALUKU UTARA,39.23,2017
PAPUA BARAT,49.18,2017
PAPUA BARAT DAYA,,2017
PAPUA,27.33,2017
PAPUA SELATAN,,2017
PAPUA TENGAH,,2017
PAPUA PEGUNUNGAN,,2017
INDONESIA,57.33,2017
ACEH,56.89,2018
SUMATERA UTARA,60.7,2018
SUMATERA BARAT,64.0,2018
RIAU,68.73,2018
JAMBI,62.43,2018
SUMATERA SELATAN,59.41,2018
BENGKULU,58.49,2018
LAMPUNG,60.41,2018
KEP. BANGKA BELITUNG,65.78,2018
KEP. RIAU,78.41,2018
DKI JAKARTA,89.04,2018
JAWA BARAT,70.61,2018
JAWA TENGAH,66.73,2018
DI YOGYAKARTA,79.1,2018
JAWA TIMUR,65.01,2018
BANTEN,75.39,2018
BALI,74.15,2018
NUSA TENGGARA BARAT,53.03,2018
