Provinsi,Komputer,Tahun
ACEH,16.81,2015
SUMATERA UTARA,14.22,2015
SUMATERA BARAT,21.9,2015
RIAU,21.33,2015
JAMBI,18.02,2015
SUMATERA SELATAN,14.48,2015
BENGKULU,20.23,2015
LAMPUNG,11.68,2015
KEP. BANGKA BELITUNG,18.26,2015
KEP. RIAU,28.54,2015
DKI JAKARTA,36.95,2015
JAWA BARAT,17.33,2015
JAWA TENGAH,15.27,2015
DI YOGYAKARTA,34.73,2015
JAWA TIMUR,17.59,2015
BANTEN,22.36,2015
BALI,27.79,2015
NUSA TENGGARA BARAT,12.58,2015
NUSA TENGGARA TIMUR,11.52,2015
KALIMANTAN BARAT,15.6,2015
KALIMANTAN TENGAH,19.64,2015
KALIMANTAN SELATAN,21.66,2015
KALIMANTAN TIMUR,33.46,2015
KALIMANTAN UTARA,29.99,2015
SULAWESI UTARA,21.81,2015
SULAWESI TENGAH,16.88,2015
SULAWESI SELATAN,23.2,2015
SULAWESI TENGGARA,19.63,2015
GORONTALO,16.71,2015
SULAWESI BARAT,14.68,2015
MALUKU,19.72,2015
MALUKU UTARA,17.16,2015
PAPUA BARAT,21.66,2015
PAPUA BARAT DAYA,,2015
PAPUA,11.49,2015
PAPUA SELATAN,,2015
PAPUA TENGAH,,2015
PAPUA PEGUNUNGAN,,2015
INDONESIA,18.71,2015
ACEH,17.48,2016
SUMATERA UTARA,14.97,2016
SUMATERA BARAT,21.0,2016
RIAU,21.51,2016
JAMBI,17.81,2016
SUMATERA SELATAN,15.1,2016
BENGKULU,19.48,2016
LAMPUNG,11.48,2016
KEP. BANGKA BELITUNG,20.82,2016
KEP. RIAU,30.19,2016
DKI JAKARTA,35.66,2016
JAWA BARAT,17.93,2016
JAWA TENGAH,15.57,2016
DI YOGYAKARTA,34.18,2016
JAWA TIMUR,18.19,2016
BANTEN,22.53,2016
BALI,29.15,2016
NUSA TENGGARA BARAT,13.46,2016
NUSA TENGGARA TIMUR,12.03,2016
KALIMANTAN BARAT,16.2,2016
KALIMANTAN TENGAH,21.84,2016
KALIMANTAN SELATAN,21.93,2016
KALIMANTAN TIMUR,34.67,2016
KALIMANTAN UTARA,31.76,2016
SULAWESI UTARA,21.67,2016
SULAWESI TENGAH,16.8,2016
SULAWESI SELATAN,23.36,2016
SULAWESI TENGGARA,22.71,2016
GORONTALO,17.63,2016
SULAWESI BARAT,16.04,2016
MALUKU,18.99,2016
MALUKU UTARA,17.27,2016
PAPUA BARAT,21.01,2016
PAPUA BARAT DAYA,,2016
PAPUA,11.6,2016
PAPUA SELATAN,,2016
PAPUA TENGAH,,2016
PAPUA PEGUNUNGAN,,2016
INDONESIA,19.14,2016
ACEH,18.5,2017
SUMATERA UTARA,14.28,2017
SUMATERA BARAT,20.35,2017
RIAU,21.08,2017
JAMBI,18.07,2017
SUMATERA SELATAN,16.62,2017
BENGKULU,19.21,2017
LAMPUNG,12.24,2017
KEP. BANGKA BELITUNG,20.95,2017
KEP. RIAU,27.95,2017
DKI JAKARTA,35.4,2017
JAWA BARAT,18.62,2017
JAWA TENGAH,15.69,2017
DI YOGYAKARTA,33.19,2017
JAWA TIMUR,17.94,2017
BANTEN,21.1,2017
BALI,27.11,2017
NUSA TENGGARA BARAT,12.36,2017
NUSA TENGGARA TIMUR,12.68,2017
KALIMANTAN BARAT,16.04,2017
KALIMANTAN TENGAH,21.39,2017
KALIMANTAN SELATAN,20.91,2017
KALIMANTAN TIMUR,32.89,2017
KALIMANTAN UTARA,29.27,2017
SULAWESI UTARA,21.09,2017
SULAWESI TENGAH,18.48,2017
SULAWESI SELATAN,23.92,2017
SULAWESI TENGGARA,20.06,2017
GORONTALO,16.36,2017
SULAWESI BARAT,17.26,2017
MALUKU,18.65,2017
MALUKU UTARA,19.19,2017
PAPUA BARAT,22.7,2017
PAPUA BARAT DAYA,,2017
PAPUA,12.87,2017
PAPUA SELATAN,,2017
PAPUA TENGAH,,2017
PAPUA PEGUNUNGAN,,2017
INDONESIA,19.11,2017
ACEH,19.55,2018
SUMATERA UTARA,16.61,2018
SUMATERA BARAT,22.62,2018
RIAU,22.78,2018
JAMBI,18.25,2018
SUMATERA SELATAN,15.66,2018
BENGKULU,19.98,2018
LAMPUNG,12.6,2018
KEP. BANGKA BELITUNG,21.95,2018
KEP. RIAU,31.44,2018
DKI JAKARTA,32.24,2018
JAWA BARAT,19.92,2018
JAWA TENGAH,17.59,2018
DI YOGYAKARTA,34.99,2018
JAWA TIMUR,18.57,2018
BANTEN,22.08,2018
BALI,26.61,2018
NUSA TENGGARA BARAT,13.68,2018
NUSA TENGGARA TIMUR,13.57,2018
KALIMANTAN BARAT,16.73,2018
KALIMANTAN TENGAH,23.78,2018
KALIMANTAN SELATAN,22.86,2018
KALIMANTAN TIMUR,33.19,2018
KALIMANTAN UTARA,31.09,2018
SULAWESI UTARA,22.01,2018
SULAWESI TENGAH,17.81,2018
SULAWESI SELATAN,23.34,2018
SULAWESI TENGGARA,20.03,2018
GORONTALO,18.64,2018
SULAWESI BARAT,17.27,2018
MALUKU,20.98,2018
MALUKU UTARA,21.15,2018
PAPUA BARAT,26.33,2018
PAPUA BARAT DAYA,,2018
PAPUA,12.87,2018
PAPUA SELATAN,,2018
PAPUA TENGAH,,2018
PAPUA PEGUNUNGAN,,2018
INDONESIA,20.05,2018
ACEH,17.08,2019
SUMATERA UTARA,15.64,2019
SUMATERA BARAT,21.02,2019
RIAU,19.34,2019
JAMBI,17.25,2019
SUMATERA SELATAN,14.57,2019
BENGKULU,19.51,2019
LAMPUNG,11.57,2019
KEP. BANGKA BELITUNG,18.42,2019
KEP. RIAU,30.26,2019
DKI JAKARTA,30.0,2019
JAWA BARAT,17.54,2019
JAWA TENGAH,16.48,2019
DI YOGYAKARTA,34.69,2019
JAWA TIMUR,18.28,2019
BANTEN,21.02,2019
BALI,25.5,2019
NUSA TENGGARA BARAT,12.74,2019
NUSA TENGGARA TIMUR,13.56,2019
KALIMANTAN BARAT,17.35,2019
KALIMANTAN TENGAH,21.52,2019
KALIMANTAN SELATAN,20.41,2019
KALIMANTAN TIMUR,31.53,2019
KALIMANTAN UTARA,28.93,2019
SULAWESI UTARA,20.38,2019
SULAWESI TENGAH,18.31,2019
SULAWESI SELATAN,22.87,2019
SULAWESI TENGGARA,22.31,2019
GORONTALO,18.26,2019
SULAWESI BARAT,16.84,2019
MALUKU,18.32,2019
MALUKU UTARA,18.22,2019
PAPUA BARAT,23.87,2019
PAPUA BARAT DAYA,,2019
PAPUA,11.41,2019
PAPUA SELATAN,,2019
PAPUA TENGAH,,2019
PAPUA PEGUNUNGAN,,2019
INDONESIA,18.78,2019
ACEH,17.31,2020
SUMATERA UTARA,15.49,2020
SUMATERA BARAT,20.62,2020
RIAU,20.52,2020
JAMBI,17.25,2020
SUMATERA SELATAN,14.97,2020
BENGKULU,20.26,2020
LAMPUNG,11.71,2020
KEP. BANGKA BELITUNG,19.4,2020
KEP. RIAU,27.09,2020
DKI JAKARTA,34.19,2020
JAWA BARAT,18.33,2020
JAWA TENGAH,16.02,2020
DI YOGYAKARTA,35.05,2020
JAWA TIMUR,17.99,2020
BANTEN,19.47,2020
BALI,25.82,2020
NUSA TENGGARA BARAT,12.43,2020
NUSA TENGGARA TIMUR,13.94,2020
KALIMANTAN BARAT,16.67,2020
KALIMANTAN TENGAH,20.42,2020
KALIMANTAN SELATAN,19.84,2020
KALIMANTAN TIMUR,28.43,2020
KALIMANTAN UTARA,26.66,2020
SULAWESI UTARA,19.38,2020
SULAWESI TENGAH,17.34,2020
SULAWESI SELATAN,21.93,2020
SULAWESI TENGGARA,21.2,2020
GORONTALO,17.51,2020
SULAWESI BARAT,14.11,2020
MALUKU,21.02,2020
MALUKU UTARA,18.51,2020
PAPUA BARAT,23.56,2020
PAPUA BARAT DAYA,,2020
PAPUA,11.03,2020
PAPUA SELATAN,,2020
PAPUA TENGAH,,2020
PAPUA PEGUNUNGAN,,2020
INDONESIA,18.83,2020
ACEH,15.62,2021
SUMATERA UTARA,15.74,2021
SUMATERA BARAT,22.43,2021
RIAU,19.74,2021
JAMBI,17.86,2021
SUMATERA SELATAN,14.42,2021
BENGKULU,18.47,2021
LAMPUNG,11.39,2021
KEP. BANGKA BELITUNG,18.91,2021
KEP. RIAU,31.08,2021
DKI JAKARTA,36.29,2021
JAWA BARAT,17.98,2021
JAWA TENGAH,14.95,2021
DI YOGYAKARTA,33.31,2021
JAWA TIMUR,16.38,2021
BANTEN,18.54,2021
BALI,25.0,2021
NUSA TENGGARA BARAT,11.75,2021
NUSA TENGGARA TIMUR,14.22,2021
KALIMANTAN BARAT,15.85,2021
KALIMANTAN TENGAH,18.95,2021
KALIMANTAN SELATAN,19.41,2021
KALIMANTAN TIMUR,30.74,2021
KALIMANTAN UTARA,24.32,2021
SULAWESI UTARA,19.93,2021
SULAWESI TENGAH,16.53,2021
SULAWESI SELATAN,21.22,2021
SULAWESI TENGGARA,19.12,2021
GORONTALO,17.36,2021
SULAWESI BARAT,14.42,2021
MALUKU,20.87,2021
MALUKU UTARA,16.94,2021
PAPUA BARAT,21.58,2021
PAPUA BARAT DAYA,,2021
PAPUA,9.61,2021
PAPUA SELATAN,,2021
PAPUA TENGAH,,2021
PAPUA PEGUNUNGAN,,2021
INDONESIA,18.24,2021
ACEH,13.7,2022
SUMATERA UTARA,15.41,2022
SUMATERA BARAT,20.14,2022
RIAU,18.58,2022
JAMBI,16.24,2022
SUMATERA SELATAN,14.42,2022
BENGKULU,17.9,2022
LAMPUNG,10.7,2022
KEP. BANGKA BELITUNG,17.89,2022
KEP. RIAU,27.47,2022
DKI JAKARTA,36.83,2022
JAWA BARAT,18.7,2022
JAWA TENGAH,14.92,2022
DI YOGYAKARTA,31.15,2022
JAWA TIMUR,16.42,2022
BANTEN,19.75,2022
BALI,27.72,2022
NUSA TENGGARA BARAT,11.06,2022
NUSA TENGGARA TIMUR,13.92,2022
KALIMANTAN BARAT,14.92,2022
KALIMANTAN TENGAH,16.7,2022
KALIMANTAN SELATAN,18.19,2022
KALIMANTAN TIMUR,28.91,2022
KALIMANTAN UTARA,28.17,2022
SULAWESI UTARA,17.12,2022
SULAWESI TENGAH,14.32,2022
SULAWESI SELATAN,20.61,2022
SULAWESI TENGGARA,17.84,2022
GORONTALO,14.98,2022
SULAWESI BARAT,13.61,2022
MALUKU,18.17,2022
MALUKU UTARA,13.58,2022
PAPUA BARAT,20.04,2022
PAPUA BARAT DAYA,,2022
PAPUA,9.36,2022
PAPUA SELATAN,,2022
PAPUA TENGAH,,2022
PAPUA PEGUNUNGAN,,2022
INDONESIA,18.04,2022
ACEH,15.1,2023
SUMATERA UTARA,15.39,2023
SUMATERA BARAT,19.75,2023
RIAU,18.65,2023
JAMBI,17.75,2023
SUMATERA SELATAN,14.78,2023
BENGKULU,17.83,2023
LAMPUNG,10.63,2023
KEP. BANGKA BELITUNG,19.64,2023
KEP. RIAU,31.46,2023
DKI JAKARTA,39.15,2023
JAWA BARAT,18.85,2023
JAWA TENGAH,14.05,2023
DI YOGYAKARTA,30.56,2023
JAWA TIMUR,16.05,2023
BANTEN,20.71,2023
BALI,24.34,2023
NUSA TENGGARA BARAT,11.09,2023
NUSA TENGGARA TIMUR,13.65,2023
KALIMANTAN BARAT,15.11,2023
KALIMANTAN TENGAH,19.12,2023
KALIMANTAN SELATAN,19.12,2023
KALIMANTAN TIMUR,29.59,2023
KALIMANTAN UTARA,27.22,2023
SULAWESI UTARA,17.23,2023
SULAWESI TENGAH,15.67,2023
SULAWESI SELATAN,20.51,2023
SULAWESI TENGGARA,19.4,2023
GORONTALO,17.89,2023
SULAWESI BARAT,12.62,2023
MALUKU,17.58,2023
MALUKU UTARA,15.92,2023
PAPUA BARAT,18.7,2023
PAPUA BARAT DAYA,18.7,2023
PAPUA,9.79,2023
PAPUA SELATAN,9.79,2023
PAPUA TENGAH,,2023
PAPUA PEGUNUNGAN,,2023
INDONESIA,18.06,2023
ACEH,15.49,2024
SUMATERA UTARA,15.35,2024
SUMATERA BARAT,20.48,2024
RIAU,17.98,2024
JAMBI,17.6,2024
SUMATERA SELATAN,14.93,2024
BENGKULU,19.79,2024
LAMPUNG,10.89,2024
KEP. BANGKA BELITUNG,19.29,2024
KEP. RIAU,30.36,2024
DKI JAKARTA,39.33,2024
JAWA BARAT,18.6,2024
JAWA TENGAH,14.82,2024
DI YOGYAKARTA,31.55,2024
JAWA TIMUR,16.7,2024
BANTEN,20.89,2024
BALI,26.63,2024
NUSA TENGGARA BARAT,11.73,2024
NUSA TENGGARA TIMUR,13.7,2024
KALIMANTAN BARAT,16.51,2024
KALIMANTAN TENGAH,19.43,2024
KALIMANTAN SELATAN,18.51,2024
KALIMANTAN TIMUR,30.52,2024
KALIMANTAN UTARA,25.05,2024
SULAWESI UTARA,17.77,2024
SULAWESI TENGAH,16.28,2024
SULAWESI SELATAN,22.13,2024
SULAWESI TENGGARA,19.77,2024
GORONTALO,17.23,2024
SULAWESI BARAT,13.98,2024
MALUKU,17.73,2024
MALUKU UTARA,17.02,2024
PAPUA BARAT,18.35,2024
PAPUA BARAT DAYA,19.63,2024
PAPUA,24.59,2024
PAPUA SELATAN,17.0,2024
PAPUA TENGAH,7.88,2024
PAPUA PEGUNUNGAN,2.31,2024
INDONESIA,18.52,2024
