Provinsi,Internet,Tahun,Komputer
PAPUA BARAT DAYA,,2015,
PAPUA SELATAN,,2015,
PAPUA TENGAH,,2015,
PAPUA PEGUNUNGAN,,2015,
PAPUA BARAT DAYA,,2016,
PAPUA SELATAN,,2016,
PAPUA TENGAH,,2016,
PAPUA PEGUNUNGAN,,2016,
PAPUA BARAT DAYA,,2017,
PAPUA SELATAN,,2017,
PAPUA TENGAH,,2017,
PAPUA PEGUNUNGAN,,2017,
PAPUA BARAT DAYA,,2018,
PAPUA SELATAN,,2018,
PAPUA TENGAH,,2018,
PAPUA PEGUNUNGAN,,2018,
PAPUA BARAT DAYA,,2019,
PAPUA SELATAN,,2019,
PAPUA TENGAH,,2019,
PAPUA PEGUNUNGAN,,2019,
PAPUA BARAT DAYA,,2020,
PAPUA SELATAN,,2020,
PAPUA TENGAH,,2020,
PAPUA PEGUNUNGAN,,2020,
PAPUA BARAT DAYA,,2021,
PAPUA SELATAN,,2021,
PAPUA TENGAH,,2021,
PAPUA PEGUNUNGAN,,2021,
PAPUA BARAT DAYA,,2022,
PAPUA SELATAN,,2022,
PAPUA TENGAH,,2022,
PAPUA PEGUNUNGAN,,2022,
PAPUA BARAT DAYA,,2023,18.7
PAPUA SELATAN,,2023,9.79
PAPUA TENGAH,,2023,
PAPUA PEGUNUNGAN,,2023,
