38 Provinsi,,,
,Persentase Rumah Tangga yang Pernah Mengakses Internet dalam 3 Bulan Terakhir Menurut Provinsi dan Klasifikasi Daerah,,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2015,2015,2015
ACEH,52.93,22.58,31.07
SUMATERA UTARA,47.48,23.53,35.23
SUMATERA BARAT,64.25,31.87,44.65
RIAU,66.03,30.7,44.43
JAMBI,62.54,30.05,39.44
SUMATERA SELATAN,58.39,24,35.74
BENGKULU,68.52,25.21,38.19
LAMPUNG,47.82,21.15,27.66
KEP. BANGKA BELITUNG,51.96,28.3,39.75
KEP. RIAU,66.45,29.7,60.53
DKI JAKARTA,74.32,-,74.32
JAWA BARAT,54.24,26.34,44.67
JAWA TENGAH,51.54,33.05,41.42
DI YOGYAKARTA,69.07,44.18,61.18
JAWA TIMUR,53.42,28.82,40.46
BANTEN,59.99,22.46,48.15
BALI,65.07,35.09,53.64
NUSA TENGGARA BARAT,39.51,19.4,27.76
NUSA TENGGARA TIMUR,55.96,12.83,21.68
KALIMANTAN BARAT,61.84,18.68,31.41
KALIMANTAN TENGAH,58.34,27.92,38.17
KALIMANTAN SELATAN,62.24,32.2,44.99
KALIMANTAN TIMUR,64.27,39.48,55.03
KALIMANTAN UTARA,61.65,30.59,47.63
SULAWESI UTARA,59.51,33.22,45.32
SULAWESI TENGAH,60.61,23.35,32.31
SULAWESI SELATAN,62.76,29.34,41.47
SULAWESI TENGGARA,63.04,24.7,35.76
GORONTALO,58.27,27.16,37.92
SULAWESI BARAT,48.86,21.67,26.81
MALUKU,60.21,18.01,34.82
MALUKU UTARA,54.25,14.4,25.34
PAPUA BARAT,56.2,22.06,34.61
PAPUA BARAT DAYA,-,-,-
PAPUA,49.74,5.35,16.28
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,57.03,26.84,41.98
