38 Provinsi,,,
,Persentase Rumah Tangga yang Memiliki/Menguasai Komputer Menurut Provinsi dan Klasifikasi Daerah,,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2019,2019,2019
ACEH,30.49,10.61,17.08
SUMATERA UTARA,21.67,8.64,15.64
SUMATERA BARAT,32.94,10.6,21.02
RIAU,31,11.35,19.34
JAMBI,29.66,11.43,17.25
SUMATERA SELATAN,26.21,8.21,14.57
BENGKULU,37.28,10.78,19.51
LAMPUNG,22.37,7.05,11.57
KEP. BANGKA BELITUNG,23.08,12.63,18.42
KEP. RIAU,32.32,12.06,30.26
DKI JAKARTA,30,-,30
JAWA BARAT,21.24,6.37,17.54
JAWA TENGAH,22.99,9.83,16.48
DI YOGYAKARTA,41.47,14.15,34.69
JAWA TIMUR,26,9.48,18.28
BANTEN,27.17,4.95,21.02
BALI,30.91,13.29,25.5
NUSA TENGGARA BARAT,18.46,7.56,12.74
NUSA TENGGARA TIMUR,34.53,6.88,13.56
KALIMANTAN BARAT,32.85,9.07,17.35
KALIMANTAN TENGAH,35.44,12.58,21.52
KALIMANTAN SELATAN,29.98,11.81,20.41
KALIMANTAN TIMUR,37.28,19.46,31.53
KALIMANTAN UTARA,34.21,20.3,28.93
SULAWESI UTARA,26.96,13.17,20.38
SULAWESI TENGAH,37.07,10.46,18.31
SULAWESI SELATAN,33.82,14.74,22.87
SULAWESI TENGGARA,39.94,11.42,22.31
GORONTALO,28.11,10.83,18.26
SULAWESI BARAT,29,13.19,16.84
MALUKU,30.54,8.34,18.32
MALUKU UTARA,39.27,9.41,18.22
PAPUA BARAT,30.73,19.06,23.87
PAPUA BARAT DAYA,-,-,-
PAPUA,30.74,4.38,11.41
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,26.11,9.45,18.78
